method,SAC,PPO,Deep Retrieval+FAISS,R-PPO,DDPG,ColBERT,FAISS,Deep Retrieval+BM25,Search-R1 E5,BM25
SAC,0.0,-0.25233770563618535,0.3489644513670767,-0.11728429522784142,0.17774481553504637,0.4573519792378867,1.4859564194914772,1.9041372484123833,3.122303609639439,4.610616012203641
PPO,0.25233770563618535,0.0,0.5199313238989559,0.12057579648083194,0.4123425232407134,0.6563649035790355,1.8326674208000397,1.9475283775413508,3.218552476255289,4.630875792529188
Deep Retrieval+FAISS,-0.3489644513670767,-0.5199313238989559,0.0,-0.4372004243183801,-0.22717471398777006,0.19603936538506747,0.9079409915506937,2.283295365574661,2.4974632096477327,4.839761933255715
R-PPO,0.11728429522784142,-0.12057579648083194,0.4372004243183801,0.0,0.2947219531065024,0.53377260674369,1.610164177271233,1.8028201335495297,3.0411292286812577,4.398224330183251
DDPG,-0.17774481553504637,-0.4123425232407134,0.22717471398777006,-0.2947219531065024,0.0,0.33532646781965986,1.3806358550042697,1.7288110850564637,3.063623326472147,4.3732839744090315
ColBERT,-0.4573519792378867,-0.6563649035790355,-0.19603936538506747,-0.53377260674369,-0.33532646781965986,0.0,0.733297895838941,1.8540273024047416,2.2057613612297384,4.816800270675441
FAISS,-1.4859564194914772,-1.8326674208000397,-0.9079409915506937,-1.610164177271233,-1.3806358550042697,-0.733297895838941,0.0,0.5776319988804363,1.5561022891958467,3.2476250392924153
Deep Retrieval+BM25,-1.9041372484123833,-1.9475283775413508,-2.283295365574661,-1.8028201335495297,-1.7288110850564637,-1.8540273024047416,-0.5776319988804363,0.0,0.7847175343115391,3.4330802056629404
Search-R1 E5,-3.122303609639439,-3.218552476255289,-2.4974632096477327,-3.0411292286812577,-3.063623326472147,-2.2057613612297384,-1.5561022891958467,-0.7847175343115391,0.0,2.5190323202652163
BM25,-4.610616012203641,-4.630875792529188,-4.839761933255715,-4.398224330183251,-4.3732839744090315,-4.816800270675441,-3.2476250392924153,-3.4330802056629404,-2.5190323202652163,0.0
